{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2381, 'n_source': 100, 'n_target': 100, 'classical': 0.17, 'labeled': 0.24, 'iter': 10}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2302, 'n_source': 100, 'n_target': 1500, 'classical': 0.24, 'labeled': 0.28, 'iter': 66}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2278, 'n_source': 12700, 'n_target': 100, 'classical': 0.33, 'labeled': 0.27, 'iter': 19}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2311, 'n_source': 100, 'n_target': 1500, 'classical': 0.3, 'labeled': 0.31, 'iter': 60}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2395, 'n_source': 100, 'n_target': 1500, 'classical': 0.3, 'labeled': 0.3, 'iter': 69}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2384, 'n_source': 100, 'n_target': 1500, 'classical': 0.33, 'labeled': 0.32, 'iter': 67}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2315, 'n_source': 100, 'n_target': 1500, 'classical': 0.24, 'labeled': 0.22, 'iter': 59}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2427, 'n_source': 12700, 'n_target': 100, 'classical': 0.38, 'labeled': 0.31, 'iter': 8}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2368, 'n_source': 100, 'n_target': 1500, 'classical': 0.38, 'labeled': 0.38, 'iter': 63}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2433, 'n_source': 100, 'n_target': 1500, 'classical': 0.3, 'labeled': 0.29, 'iter': 65}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2307, 'n_source': 12700, 'n_target': 100, 'classical': 0.31, 'labeled': 0.3, 'iter': 2}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2403, 'n_source': 12700, 'n_target': 100, 'classical': 0.29, 'labeled': 0.26, 'iter': 9}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2304, 'n_source': 100, 'n_target': 1500, 'classical': 0.18, 'labeled': 0.17, 'iter': 68}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.243, 'n_source': 100, 'n_target': 1500, 'classical': 0.25, 'labeled': 0.25, 'iter': 64}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.229, 'n_source': 100, 'n_target': 1500, 'classical': 0.31, 'labeled': 0.32, 'iter': 61}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2288, 'n_source': 100, 'n_target': 1500, 'classical': 0.35, 'labeled': 0.35, 'iter': 62}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.239, 'n_source': 100, 'n_target': 1500, 'classical': 0.34, 'labeled': 0.32, 'iter': 80}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2342, 'n_source': 100, 'n_target': 1500, 'classical': 0.26, 'labeled': 0.26, 'iter': 89}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2349, 'n_source': 100, 'n_target': 1500, 'classical': 0.2, 'labeled': 0.23, 'iter': 90}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.241, 'n_source': 100, 'n_target': 1500, 'classical': 0.39, 'labeled': 0.36, 'iter': 87}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2357, 'n_source': 100, 'n_target': 1500, 'classical': 0.29, 'labeled': 0.29, 'iter': 77}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.235, 'n_source': 100, 'n_target': 1500, 'classical': 0.23, 'labeled': 0.23, 'iter': 91}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2354, 'n_source': 100, 'n_target': 1500, 'classical': 0.23, 'labeled': 0.22, 'iter': 74}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2339, 'n_source': 100, 'n_target': 1500, 'classical': 0.3, 'labeled': 0.28, 'iter': 84}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2329, 'n_source': 100, 'n_target': 1500, 'classical': 0.33, 'labeled': 0.32, 'iter': 81}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2403, 'n_source': 100, 'n_target': 1500, 'classical': 0.32, 'labeled': 0.31, 'iter': 92}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2424, 'n_source': 100, 'n_target': 1500, 'classical': 0.25, 'labeled': 0.26, 'iter': 73}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2392, 'n_source': 100, 'n_target': 1500, 'classical': 0.36, 'labeled': 0.31, 'iter': 93}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2424, 'n_source': 100, 'n_target': 1500, 'classical': 0.27, 'labeled': 0.28, 'iter': 82}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2374, 'n_source': 100, 'n_target': 1500, 'classical': 0.31, 'labeled': 0.3, 'iter': 76}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2382, 'n_source': 100, 'n_target': 1500, 'classical': 0.27, 'labeled': 0.28, 'iter': 85}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2446, 'n_source': 100, 'n_target': 1500, 'classical': 0.31, 'labeled': 0.3, 'iter': 94}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2352, 'n_source': 100, 'n_target': 1500, 'classical': 0.22, 'labeled': 0.22, 'iter': 78}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2416, 'n_source': 100, 'n_target': 1500, 'classical': 0.34, 'labeled': 0.33, 'iter': 83}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2405, 'n_source': 100, 'n_target': 1500, 'classical': 0.3, 'labeled': 0.28, 'iter': 88}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2421, 'n_source': 100, 'n_target': 1500, 'classical': 0.25, 'labeled': 0.26, 'iter': 86}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2339, 'n_source': 100, 'n_target': 1500, 'classical': 0.3, 'labeled': 0.28, 'iter': 95}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2379, 'n_source': 100, 'n_target': 1500, 'classical': 0.36, 'labeled': 0.3, 'iter': 75}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.238, 'n_source': 100, 'n_target': 1500, 'classical': 0.27, 'labeled': 0.25, 'iter': 79}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2297, 'n_source': 100, 'n_target': 1500, 'classical': 0.32, 'labeled': 0.33, 'iter': 98}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2351, 'n_source': 100, 'n_target': 1500, 'classical': 0.3, 'labeled': 0.3, 'iter': 97}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2373, 'n_source': 100, 'n_target': 1500, 'classical': 0.29, 'labeled': 0.29, 'iter': 72}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.232, 'n_source': 100, 'n_target': 1500, 'classical': 0.22, 'labeled': 0.26, 'iter': 96}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2343, 'n_source': 100, 'n_target': 1500, 'classical': 0.3, 'labeled': 0.31, 'iter': 99}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2376, 'n_source': 100, 'n_target': 1500, 'classical': 0.22, 'labeled': 0.23, 'iter': 41}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.234, 'n_source': 100, 'n_target': 1500, 'classical': 0.25, 'labeled': 0.22, 'iter': 40}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.232, 'n_source': 100, 'n_target': 3100, 'classical': 0.24, 'labeled': 0.23, 'iter': 59}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2424, 'n_source': 100, 'n_target': 3100, 'classical': 0.36, 'labeled': 0.34, 'iter': 16}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2296, 'n_source': 100, 'n_target': 3100, 'classical': 0.26, 'labeled': 0.24, 'iter': 29}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2329, 'n_source': 100, 'n_target': 3100, 'classical': 0.26, 'labeled': 0.26, 'iter': 32}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2372, 'n_source': 100, 'n_target': 3100, 'classical': 0.29, 'labeled': 0.28, 'iter': 31}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.236, 'n_source': 100, 'n_target': 3100, 'classical': 0.34, 'labeled': 0.33, 'iter': 46}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2388, 'n_source': 100, 'n_target': 3100, 'classical': 0.28, 'labeled': 0.28, 'iter': 58}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2387, 'n_source': 100, 'n_target': 3100, 'classical': 0.27, 'labeled': 0.28, 'iter': 27}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2322, 'n_source': 100, 'n_target': 3100, 'classical': 0.28, 'labeled': 0.28, 'iter': 44}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2377, 'n_source': 100, 'n_target': 3100, 'classical': 0.3, 'labeled': 0.3, 'iter': 61}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2313, 'n_source': 100, 'n_target': 3100, 'classical': 0.27, 'labeled': 0.28, 'iter': 30}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2348, 'n_source': 100, 'n_target': 3100, 'classical': 0.21, 'labeled': 0.21, 'iter': 84}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2356, 'n_source': 100, 'n_target': 3100, 'classical': 0.33, 'labeled': 0.33, 'iter': 80}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2339, 'n_source': 100, 'n_target': 3100, 'classical': 0.33, 'labeled': 0.33, 'iter': 14}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2405, 'n_source': 100, 'n_target': 3100, 'classical': 0.28, 'labeled': 0.27, 'iter': 89}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2348, 'n_source': 100, 'n_target': 3100, 'classical': 0.25, 'labeled': 0.25, 'iter': 3}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2377, 'n_source': 100, 'n_target': 3100, 'classical': 0.29, 'labeled': 0.29, 'iter': 53}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.236, 'n_source': 100, 'n_target': 3100, 'classical': 0.31, 'labeled': 0.32, 'iter': 42}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2403, 'n_source': 100, 'n_target': 3100, 'classical': 0.27, 'labeled': 0.26, 'iter': 90}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2318, 'n_source': 100, 'n_target': 3100, 'classical': 0.31, 'labeled': 0.31, 'iter': 67}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.235, 'n_source': 100, 'n_target': 3100, 'classical': 0.19, 'labeled': 0.19, 'iter': 12}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2379, 'n_source': 100, 'n_target': 3100, 'classical': 0.28, 'labeled': 0.28, 'iter': 68}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2331, 'n_source': 100, 'n_target': 3100, 'classical': 0.22, 'labeled': 0.22, 'iter': 33}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2362, 'n_source': 100, 'n_target': 3100, 'classical': 0.22, 'labeled': 0.22, 'iter': 86}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2369, 'n_source': 12700, 'n_target': 100, 'classical': 0.3, 'labeled': 0.2, 'iter': 11}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2375, 'n_source': 100, 'n_target': 3100, 'classical': 0.27, 'labeled': 0.23, 'iter': 43}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2366, 'n_source': 100, 'n_target': 3100, 'classical': 0.27, 'labeled': 0.28, 'iter': 11}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2373, 'n_source': 100, 'n_target': 3100, 'classical': 0.28, 'labeled': 0.28, 'iter': 88}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2384, 'n_source': 100, 'n_target': 3100, 'classical': 0.22, 'labeled': 0.23, 'iter': 66}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2376, 'n_source': 100, 'n_target': 3100, 'classical': 0.28, 'labeled': 0.28, 'iter': 83}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2383, 'n_source': 100, 'n_target': 3100, 'classical': 0.26, 'labeled': 0.27, 'iter': 60}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2425, 'n_source': 100, 'n_target': 3100, 'classical': 0.34, 'labeled': 0.32, 'iter': 47}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2305, 'n_source': 100, 'n_target': 3100, 'classical': 0.21, 'labeled': 0.23, 'iter': 52}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2326, 'n_source': 100, 'n_target': 3100, 'classical': 0.2, 'labeled': 0.2, 'iter': 64}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2403, 'n_source': 100, 'n_target': 3100, 'classical': 0.22, 'labeled': 0.24, 'iter': 35}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2357, 'n_source': 100, 'n_target': 3100, 'classical': 0.21, 'labeled': 0.21, 'iter': 73}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2338, 'n_source': 100, 'n_target': 3100, 'classical': 0.22, 'labeled': 0.23, 'iter': 62}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2345, 'n_source': 100, 'n_target': 3100, 'classical': 0.33, 'labeled': 0.29, 'iter': 37}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2302, 'n_source': 100, 'n_target': 3100, 'classical': 0.26, 'labeled': 0.28, 'iter': 45}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2349, 'n_source': 100, 'n_target': 3100, 'classical': 0.26, 'labeled': 0.26, 'iter': 79}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.233, 'n_source': 100, 'n_target': 3100, 'classical': 0.25, 'labeled': 0.25, 'iter': 48}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2413, 'n_source': 100, 'n_target': 3100, 'classical': 0.18, 'labeled': 0.19, 'iter': 13}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.237, 'n_source': 100, 'n_target': 3100, 'classical': 0.39, 'labeled': 0.38, 'iter': 38}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2359, 'n_source': 100, 'n_target': 3100, 'classical': 0.29, 'labeled': 0.29, 'iter': 85}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.237, 'n_source': 100, 'n_target': 3100, 'classical': 0.24, 'labeled': 0.24, 'iter': 82}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2374, 'n_source': 100, 'n_target': 3100, 'classical': 0.26, 'labeled': 0.26, 'iter': 87}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2352, 'n_source': 100, 'n_target': 3100, 'classical': 0.3, 'labeled': 0.33, 'iter': 98}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.238, 'n_source': 100, 'n_target': 3100, 'classical': 0.3, 'labeled': 0.31, 'iter': 81}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2371, 'n_source': 100, 'n_target': 3100, 'classical': 0.27, 'labeled': 0.29, 'iter': 23}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2381, 'n_source': 100, 'n_target': 3100, 'classical': 0.34, 'labeled': 0.31, 'iter': 26}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2386, 'n_source': 100, 'n_target': 3100, 'classical': 0.36, 'labeled': 0.37, 'iter': 91}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2378, 'n_source': 100, 'n_target': 3100, 'classical': 0.25, 'labeled': 0.26, 'iter': 9}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2379, 'n_source': 100, 'n_target': 3100, 'classical': 0.26, 'labeled': 0.26, 'iter': 75}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.235, 'n_source': 100, 'n_target': 3100, 'classical': 0.28, 'labeled': 0.29, 'iter': 39}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2329, 'n_source': 100, 'n_target': 3100, 'classical': 0.34, 'labeled': 0.32, 'iter': 94}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2291, 'n_source': 100, 'n_target': 3100, 'classical': 0.23, 'labeled': 0.23, 'iter': 55}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2312, 'n_source': 100, 'n_target': 3100, 'classical': 0.29, 'labeled': 0.3, 'iter': 19}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.239, 'n_source': 100, 'n_target': 3100, 'classical': 0.22, 'labeled': 0.23, 'iter': 36}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2403, 'n_source': 100, 'n_target': 3100, 'classical': 0.25, 'labeled': 0.23, 'iter': 93}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2334, 'n_source': 100, 'n_target': 3100, 'classical': 0.18, 'labeled': 0.19, 'iter': 28}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2375, 'n_source': 100, 'n_target': 3100, 'classical': 0.25, 'labeled': 0.25, 'iter': 24}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2355, 'n_source': 100, 'n_target': 3100, 'classical': 0.22, 'labeled': 0.21, 'iter': 40}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2339, 'n_source': 100, 'n_target': 3100, 'classical': 0.28, 'labeled': 0.29, 'iter': 21}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2429, 'n_source': 100, 'n_target': 3100, 'classical': 0.21, 'labeled': 0.23, 'iter': 15}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2393, 'n_source': 100, 'n_target': 3100, 'classical': 0.28, 'labeled': 0.28, 'iter': 70}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2444, 'n_source': 100, 'n_target': 3100, 'classical': 0.21, 'labeled': 0.22, 'iter': 20}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2321, 'n_source': 100, 'n_target': 3100, 'classical': 0.26, 'labeled': 0.26, 'iter': 17}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2436, 'n_source': 100, 'n_target': 3100, 'classical': 0.29, 'labeled': 0.3, 'iter': 1}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2335, 'n_source': 100, 'n_target': 3100, 'classical': 0.25, 'labeled': 0.25, 'iter': 0}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2371, 'n_source': 100, 'n_target': 3100, 'classical': 0.31, 'labeled': 0.3, 'iter': 34}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2394, 'n_source': 100, 'n_target': 3100, 'classical': 0.34, 'labeled': 0.35, 'iter': 92}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2333, 'n_source': 100, 'n_target': 3100, 'classical': 0.19, 'labeled': 0.19, 'iter': 65}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2433, 'n_source': 100, 'n_target': 3100, 'classical': 0.25, 'labeled': 0.25, 'iter': 69}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2317, 'n_source': 100, 'n_target': 3100, 'classical': 0.22, 'labeled': 0.22, 'iter': 99}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2436, 'n_source': 100, 'n_target': 3100, 'classical': 0.22, 'labeled': 0.22, 'iter': 54}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2386, 'n_source': 100, 'n_target': 3100, 'classical': 0.21, 'labeled': 0.21, 'iter': 96}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2377, 'n_source': 100, 'n_target': 3100, 'classical': 0.24, 'labeled': 0.25, 'iter': 22}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2347, 'n_source': 100, 'n_target': 3100, 'classical': 0.27, 'labeled': 0.27, 'iter': 6}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2345, 'n_source': 100, 'n_target': 3100, 'classical': 0.19, 'labeled': 0.2, 'iter': 18}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2374, 'n_source': 100, 'n_target': 3100, 'classical': 0.28, 'labeled': 0.29, 'iter': 78}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2337, 'n_source': 100, 'n_target': 3100, 'classical': 0.36, 'labeled': 0.36, 'iter': 51}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2404, 'n_source': 100, 'n_target': 3100, 'classical': 0.23, 'labeled': 0.24, 'iter': 97}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2291, 'n_source': 100, 'n_target': 3100, 'classical': 0.2, 'labeled': 0.19, 'iter': 56}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2403, 'n_source': 100, 'n_target': 3100, 'classical': 0.25, 'labeled': 0.25, 'iter': 63}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2399, 'n_source': 100, 'n_target': 3100, 'classical': 0.32, 'labeled': 0.32, 'iter': 8}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2356, 'n_source': 100, 'n_target': 3100, 'classical': 0.31, 'labeled': 0.3, 'iter': 95}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2491, 'n_source': 100, 'n_target': 3100, 'classical': 0.27, 'labeled': 0.25, 'iter': 76}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2383, 'n_source': 100, 'n_target': 3100, 'classical': 0.3, 'labeled': 0.29, 'iter': 5}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2312, 'n_source': 100, 'n_target': 3100, 'classical': 0.18, 'labeled': 0.2, 'iter': 74}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2456, 'n_source': 100, 'n_target': 3100, 'classical': 0.26, 'labeled': 0.23, 'iter': 2}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2329, 'n_source': 100, 'n_target': 3100, 'classical': 0.29, 'labeled': 0.29, 'iter': 72}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2341, 'n_source': 100, 'n_target': 3100, 'classical': 0.28, 'labeled': 0.28, 'iter': 7}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2408, 'n_source': 100, 'n_target': 3100, 'classical': 0.26, 'labeled': 0.27, 'iter': 10}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2433, 'n_source': 100, 'n_target': 3100, 'classical': 0.29, 'labeled': 0.29, 'iter': 57}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2385, 'n_source': 100, 'n_target': 3100, 'classical': 0.28, 'labeled': 0.27, 'iter': 77}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2344, 'n_source': 100, 'n_target': 3100, 'classical': 0.25, 'labeled': 0.25, 'iter': 50}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2326, 'n_source': 100, 'n_target': 6300, 'classical': 0.27, 'labeled': 0.26, 'iter': 5}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.235, 'n_source': 100, 'n_target': 6300, 'classical': 0.31, 'labeled': 0.32, 'iter': 57}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2403, 'n_source': 100, 'n_target': 6300, 'classical': 0.29, 'labeled': 0.29, 'iter': 11}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2412, 'n_source': 100, 'n_target': 6300, 'classical': 0.3, 'labeled': 0.3, 'iter': 56}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2416, 'n_source': 100, 'n_target': 6300, 'classical': 0.27, 'labeled': 0.27, 'iter': 74}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2435, 'n_source': 100, 'n_target': 6300, 'classical': 0.26, 'labeled': 0.26, 'iter': 71}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2467, 'n_source': 100, 'n_target': 6300, 'classical': 0.31, 'labeled': 0.31, 'iter': 53}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2386, 'n_source': 100, 'n_target': 6300, 'classical': 0.28, 'labeled': 0.3, 'iter': 1}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2421, 'n_source': 100, 'n_target': 6300, 'classical': 0.26, 'labeled': 0.26, 'iter': 80}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2384, 'n_source': 100, 'n_target': 6300, 'classical': 0.25, 'labeled': 0.24, 'iter': 78}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2364, 'n_source': 100, 'n_target': 6300, 'classical': 0.24, 'labeled': 0.24, 'iter': 51}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2398, 'n_source': 100, 'n_target': 6300, 'classical': 0.32, 'labeled': 0.28, 'iter': 55}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2349, 'n_source': 100, 'n_target': 6300, 'classical': 0.34, 'labeled': 0.34, 'iter': 4}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2383, 'n_source': 100, 'n_target': 6300, 'classical': 0.26, 'labeled': 0.25, 'iter': 65}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2302, 'n_source': 100, 'n_target': 6300, 'classical': 0.4, 'labeled': 0.4, 'iter': 61}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2357, 'n_source': 100, 'n_target': 6300, 'classical': 0.25, 'labeled': 0.25, 'iter': 14}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2351, 'n_source': 100, 'n_target': 6300, 'classical': 0.23, 'labeled': 0.22, 'iter': 77}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2412, 'n_source': 100, 'n_target': 6300, 'classical': 0.29, 'labeled': 0.3, 'iter': 6}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.24, 'n_source': 100, 'n_target': 6300, 'classical': 0.24, 'labeled': 0.25, 'iter': 54}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2452, 'n_source': 100, 'n_target': 6300, 'classical': 0.32, 'labeled': 0.3, 'iter': 12}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2467, 'n_source': 100, 'n_target': 6300, 'classical': 0.21, 'labeled': 0.2, 'iter': 50}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2342, 'n_source': 100, 'n_target': 6300, 'classical': 0.24, 'labeled': 0.21, 'iter': 64}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2376, 'n_source': 100, 'n_target': 6300, 'classical': 0.33, 'labeled': 0.32, 'iter': 62}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.233, 'n_source': 100, 'n_target': 6300, 'classical': 0.25, 'labeled': 0.24, 'iter': 73}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2404, 'n_source': 100, 'n_target': 6300, 'classical': 0.27, 'labeled': 0.28, 'iter': 60}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.23, 'n_source': 100, 'n_target': 6300, 'classical': 0.29, 'labeled': 0.28, 'iter': 81}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2328, 'n_source': 100, 'n_target': 6300, 'classical': 0.24, 'labeled': 0.24, 'iter': 63}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2397, 'n_source': 100, 'n_target': 6300, 'classical': 0.28, 'labeled': 0.28, 'iter': 21}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2372, 'n_source': 100, 'n_target': 6300, 'classical': 0.33, 'labeled': 0.32, 'iter': 66}
